%% LaTeX2e file `data.csv'
%% generated by the `filecontents' environment
%% from source `plot' on 2026/04/15.
%%
t,min,max,det
7,0,0,0
8,0.16886741814278047,0.605437456632814,0.6042979581547769
9,0.429072342519685,0.6502352083747432,0.6509915765735889
10,0.4624477177668667,0.6512738853503185,0.6518159484761968
11,0.5128174196272393,0.8043665613329503,0.7533657745336577
12,0.7301162434995412,0.8605877920120573,0.8621039290240811
14,0.7666582427765142,0.8876132930513595,0.8988726790450928
16,0.8932069510268562,0.9527796383121232,0.9545296771954183
18,0.9276891982932854,0.9618383258104226,0.9687034277198212
20,0.9618383258104226,0.9808,0.986
