training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
13486, 13328, 0.606405, 0.6060754125663878, 0.6067344519536374, 0, 28, 249
23923, 12319, 0.6065, 0.606170426468224, 0.6068294379308424, 1, 28, 249
24173, 12259, 0.605857, 0.6055273326294665, 0.6061865325882987, 2, 28, 249
23754, 12112, 0.607769, 0.6074396134198415, 0.608098249363473, 3, 28, 248
23869, 12171, 0.607138, 0.6068085201682912, 0.6074673434184429, 4, 28, 249
# timestamp 28.08.2025 10:43:03 (1756370583), datastructure reach_tree_full
# timebound 10, expirations {"r1": 3, "r2": 3}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
