training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4261, 3250, 0.651294, 0.6509724684656406, 0.651615338899544, 0, 28, 252
4305, 3289, 0.650842, 0.6505203721255393, 0.6511634358151536, 1, 28, 248
4254, 3273, 0.65145, 0.6511285017896349, 0.6517713053769231, 2, 28, 248
4249, 3321, 0.65167, 0.651348548849472, 0.6519912580369713, 3, 28, 248
4287, 3279, 0.651112, 0.6507904296355667, 0.6514333779613493, 4, 28, 251
# timestamp 27.08.2025 19:22:25 (1756315345), datastructure sac
# timebound 10, expirations {"r1": 0, "r2": 0}
# alpha 0.5, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
