training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4195, 3146, 0.652546, 0.6522247369819815, 0.6528670687890963, 0, 28, 246
4291, 3243, 0.651518, 0.651196516327347, 0.65183929075263, 1, 28, 245
4138, 3166, 0.651055, 0.6507334174851087, 0.6513763901843823, 2, 28, 248
4091, 3201, 0.650732, 0.6504103487280639, 0.6510534593526862, 3, 28, 248
4126, 3209, 0.651191, 0.6508694464840415, 0.6515123610122877, 4, 28, 247
# timestamp 27.08.2025 19:27:05 (1756315625), datastructure sac
# timebound 10, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
