training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
5840, 4084, 0.881392, 0.8811736766611766, 0.8816098377320218, 0, 677, 4163
5128, 3911, 0.881508, 0.8812897689126434, 0.8817257453328581, 1, 665, 4157
5338, 4076, 0.882639, 0.8824216718999973, 0.8828558409054582, 2, 671, 4324
5178, 3998, 0.882514, 0.8822965717837968, 0.8827309411808149, 3, 664, 4109
5153, 3961, 0.882388, 0.8821704709465336, 0.8826050421785078, 4, 688, 4206
# timestamp 28.08.2025 08:37:16 (1756363036), datastructure sac
# timebound 14, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000, simulation runs 1000000
