training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
5280, 4105, 0.928043, 0.9278684280157928, 0.9282170269789493, 0, 673, 1131
5310, 4124, 0.927832, 0.9276571926324244, 0.9280062626309742, 1, 691, 1158
5291, 4246, 0.928078, 0.9279034671024454, 0.9282519878477327, 2, 690, 1162
5289, 4087, 0.926385, 0.9262085899985405, 0.9265608671072562, 3, 692, 1148
5354, 4141, 0.927998, 0.9278233777791124, 0.9281720772729262, 4, 693, 1178
# timestamp 27.08.2025 21:20:05 (1756322405), datastructure reach_tree_reduced
# timebound 14, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
