training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3365, 2333, 1, 0.9999993383485358, 1, 0, 1753, 0
3407, 2373, 1, 0.9999993383485358, 1, 1, 1747, 0
3436, 2418, 1, 0.9999993383485358, 1, 2, 1739, 0
3390, 2537, 1, 0.9999993383485358, 1, 3, 1766, 0
3376, 2373, 1, 0.9999993383485358, 1, 4, 1731, 0
# timestamp 28.08.2025 00:12:55 (1756332775), datastructure reach_tree_reduced
# timebound 20, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
