training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4345, 3345, 0.65131, 0.650988471881741, 0.6516313354630717, 0, 28, 207
4372, 3351, 0.651901, 0.6515795983435184, 0.6522222082488046, 1, 28, 200
4319, 3367, 0.651927, 0.6516056039194876, 0.6522482026397308, 2, 28, 200
4311, 3370, 0.65105, 0.6507284164195204, 0.6513713912563368, 3, 28, 203
4327, 3361, 0.65031, 0.6499882591414939, 0.650631549476567, 4, 28, 208
# timestamp 27.08.2025 19:58:21 (1756317501), datastructure reach_tree_reduced
# timebound 10, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: DISCRETE_HISTORY
# training runs 1000000, simulation runs 1000000
