training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4844, 3735, 0.768726, 0.7684414322993474, 0.7690102255457332, 0, 46, 566
4810, 3686, 0.769087, 0.7688025873986304, 0.7693710699868075, 1, 46, 566
4836, 3711, 0.768828, 0.7685434760926804, 0.7691121816225289, 2, 46, 561
4898, 3822, 0.768382, 0.7680972847766785, 0.7686663735063995, 3, 46, 552
4804, 3692, 0.768589, 0.7683043735157146, 0.7688732845038011, 4, 46, 555
# timestamp 27.08.2025 20:11:37 (1756318297), datastructure reach_tree_full
# timebound 11, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: DISCRETE_HISTORY
# training runs 1000000, simulation runs 1000000
