training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3041, 2131, 0.62621, 0.6258835956312331, 0.6265362436721108, 0, 16, 124
3052, 2249, 0.626761, 0.6264346924562526, 0.6270871461455314, 1, 16, 124
3059, 2160, 0.626161, 0.6258345870425538, 0.6264872523231793, 2, 16, 124
3045, 2166, 0.626421, 0.6260946326559843, 0.6267472063787042, 3, 16, 124
3081, 2174, 0.626212, 0.6258855959818673, 0.62653824331893, 4, 16, 124
# timestamp 27.08.2025 19:48:10 (1756316890), datastructure reach_tree_reduced
# timebound 9, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000, simulation runs 1000000
