training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3907, 2900, 0.648879, 0.6485569574140435, 0.6492008530260357, 0, 16, 124
3972, 2964, 0.648408, 0.6480858587982901, 0.6487299522414891, 1, 16, 124
3909, 2904, 0.64936, 0.6490380584785584, 0.6496817513490883, 2, 16, 124
3925, 2960, 0.6489, 0.648577961818932, 0.649221848594409, 3, 16, 124
3937, 2952, 0.64904, 0.648717991202332, 0.6493618190327544, 4, 16, 124
# timestamp 27.08.2025 19:48:10 (1756316890), datastructure reach_tree_reduced
# timebound 9, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
