training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4582, 3485, 0.651258, 0.6509364607808729, 0.6515793466301487, 0, 28, 250
4644, 3503, 0.651864, 0.6515425904103032, 0.65218521622913, 1, 28, 246
4445, 3435, 0.651255, 0.6509334601405666, 0.6515763472742747, 2, 28, 245
4446, 3408, 0.651341, 0.6510194785015706, 0.6516623288037714, 3, 28, 245
4462, 3439, 0.651358, 0.6510364821324355, 0.6516793251512613, 4, 28, 245
# timestamp 28.08.2025 14:13:09 (1756383189), datastructure sac
# timebound 10, expirations {"r1": 4, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
