training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4581, 3500, 0.651372, 0.6510504851228976, 0.6516933221429737, 0, 28, 233
4647, 3551, 0.650958, 0.6506363968196441, 0.6512794109733518, 1, 28, 234
4519, 3524, 0.651374, 0.6510524855501314, 0.6516953217131933, 2, 28, 234
4520, 3522, 0.651677, 0.651355550348069, 0.6519982565294615, 3, 28, 232
4472, 3511, 0.651783, 0.6514615730504482, 0.6521042336921181, 4, 28, 234
# timestamp 27.08.2025 20:27:42 (1756319262), datastructure sac
# timebound 10, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
