training_time, simulation_time, prob, low, high, runs
13, 36, 0.6370568300312826, 0.627057176197621, 0.6470564838649441, 15344
13, 37, 0.6411028882048595, 0.6311031320563195, 0.6511026443533995, 15269
13, 35, 0.5679194301154508, 0.5579196363315175, 0.577919223899384, 16284
13, 37, 0.6438194124991785, 0.6338194471517266, 0.6538193778466305, 15217
13, 37, 0.6467251500560649, 0.6367251921876903, 0.6567251079244395, 15161
13, 37, 0.6465119345905315, 0.636512257319645, 0.6565116118614179, 15166
13, 37, 0.6415044885656248, 0.6315045789773354, 0.6515043981539143, 15261
13, 37, 0.6494142564034682, 0.639414577997478, 0.6594139348094583, 15109
13, 38, 0.6350455136540962, 0.6250457561028012, 0.6450452712053912, 15380
13, 35, 0.5731444410224823, 0.5631446200403306, 0.583144262004634, 16235
13, 37, 0.6521854656569682, 0.6421859417290119, 0.6621849895849246, 15054
13, 37, 0.6436925098554533, 0.6336927346709309, 0.6536922850399758, 15220
13, 36, 0.5632810585640774, 0.5532811471284884, 0.5732809699996664, 16324
13, 37, 0.6471325810070613, 0.6371326049459736, 0.657132557068149, 15153
13, 36, 0.5650254460727205, 0.5550254893279913, 0.5750254028174497, 16309
13, 37, 0.6413363904356371, 0.6313367576130823, 0.6513360232581918, 15265
13, 35, 0.5710243002153184, 0.5610243920285544, 0.5810242084020824, 16255
13, 38, 0.6402355250245338, 0.6302357055536919, 0.6502353444953758, 15285
13, 37, 0.6437771060586148, 0.6337772039938554, 0.6537770081233742, 15218
13, 37, 0.6429274696422711, 0.632927841713201, 0.6529270975713412, 15235
13, 36, 0.5637867647058824, 0.5537869342004843, 0.5737865952112805, 16320
13, 37, 0.6489185792711158, 0.6389189625730932, 0.6589181959691385, 15119
13, 37, 0.6389288047028087, 0.6289292440478971, 0.6489283653577202, 15310
13, 37, 0.6431385423506237, 0.6331385884468839, 0.6531384962543636, 15230
13, 37, 0.6420983606557377, 0.6320985089127681, 0.6520982123987072, 15250
# timestamp 02.10.2025 22:51:52 (1759438312), datastructure SAC
# timebound 10, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 0.95
# fixed points 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: MEMORYLESS
# training runs 5000
