training_time, simulation_time, prob, low, high, runs
518, 102, 1, 1, 1, 1000
525, 110, 1, 1, 1, 1000
522, 103, 1, 1, 1, 1000
522, 108, 1, 1, 1, 1000
527, 108, 1, 1, 1, 1000
521, 102, 1, 1, 1, 1000
523, 104, 1, 1, 1, 1000
518, 103, 1, 1, 1, 1000
517, 103, 1, 1, 1, 1000
520, 103, 1, 1, 1, 1000
517, 103, 1, 1, 1, 1000
513, 101, 1, 1, 1, 1000
512, 102, 1, 1, 1, 1000
514, 102, 1, 1, 1, 1000
511, 102, 1, 1, 1, 1000
529, 104, 1, 1, 1, 1000
524, 103, 1, 1, 1, 1000
521, 108, 1, 1, 1, 1000
523, 103, 1, 1, 1, 1000
523, 101, 1, 1, 1, 1000
516, 102, 1, 1, 1, 1000
516, 104, 1, 1, 1, 1000
519, 106, 1, 1, 1, 1000
531, 109, 1, 1, 1, 1000
525, 104, 1, 1, 1, 1000
# timestamp 22.10.2025 10:34:21 (1761122061), datastructure SAC
# timebound 1, expirations {"r1": 0, "r2": 0}
# alpha 0.5, gamma 1
# fixed points 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: MEMORYLESS
# training runs 5000
