training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
6605, 4732, 0.947404, 0.9472531516938715, 0.9475542786493624, 0, 2886, 10063
6877, 4917, 0.947672, 0.9475215143663374, 0.9478219156356631, 1, 2914, 10097
6272, 4775, 0.9476, 0.9474494168245314, 0.9477500132691437, 2, 3000, 10443
6359, 4729, 0.947758, 0.9476076309783598, 0.9479077989141403, 3, 2869, 10094
6460, 4789, 0.947869, 0.9477187816566028, 0.9480186480945656, 4, 2916, 10109
# timestamp 28.08.2025 10:00:11 (1756368011), datastructure sac
# timebound 16, expirations {"r1": 10, "r2": 10}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000, simulation runs 1000000
