training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
5918, 4225, 1, 0.9999993383485358, 1, 0, 2145, 0
5921, 4511, 1, 0.9999993383485358, 1, 1, 2150, 0
5498, 4428, 1, 0.9999993383485358, 1, 2, 2137, 0
5341, 4196, 1, 0.9999993383485358, 1, 3, 2148, 0
5693, 4294, 1, 0.9999993383485358, 1, 4, 2121, 0
# timestamp 28.08.2025 09:00:30 (1756364430), datastructure sac
# timebound 20, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000, simulation runs 1000000
