training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3042, 2213, 0.835749, 0.835498885689284, 0.835998686818843, 0, 145, 1466
2991, 2083, 0.837659, 0.8374100579797257, 0.8379075120964955, 1, 142, 1469
3060, 2234, 0.837432, 0.837182918016218, 0.8376806523490307, 2, 144, 1473
3067, 2094, 0.837932, 0.8376832265354043, 0.8381803431932199, 3, 144, 1457
2995, 2213, 0.83674, 0.8364904924095014, 0.8369890788368357, 4, 146, 1481
# timestamp 27.08.2025 20:59:06 (1756321146), datastructure sac
# timebound 12, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
