training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4505, 3456, 0.854939, 0.8547012441762029, 0.8551763038982709, 0, 142, 1491
4674, 3591, 0.852965, 0.8527259109739389, 0.8532036396139292, 1, 141, 1492
4780, 3619, 0.854702, 0.85446408332117, 0.8549394650550639, 2, 141, 1471
5486, 4628, 0.854767, 0.8545291274159722, 0.8550044208775005, 3, 141, 1482
4568, 3661, 0.855257, 0.8550194603477889, 0.8554940873217916, 4, 141, 1464
# timestamp 28.08.2025 08:36:29 (1756362989), datastructure sac
# timebound 12, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000, simulation runs 1000000
