training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3497, 2587, 0.937936, 0.9377729857862019, 0.9380984566122311, 0, 3067, 11339
3463, 2552, 0.938091, 0.9379281755944302, 0.9382532666066482, 1, 3055, 11231
3453, 2538, 0.938083, 0.937920165790801, 0.9382452764204635, 2, 3041, 11309
3450, 2360, 0.941239, 0.9410800946354694, 0.9413973435573983, 3, 3052, 11332
3462, 2537, 0.937534, 0.9373704948510357, 0.9376969480592462, 4, 3059, 11146
# timestamp 27.08.2025 21:01:35 (1756321295), datastructure sac
# timebound 16, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
