training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4796, 3507, 0.845952, 0.8457082925235072, 0.8461952669936583, 0, 139, 810
4878, 3663, 0.847505, 0.8472622997076771, 0.8477472578321323, 1, 144, 805
4823, 3658, 0.847533, 0.8472903179468277, 0.8477752395573308, 2, 143, 797
4765, 3671, 0.845196, 0.844951805361632, 0.8454397551181101, 3, 142, 802
4782, 3638, 0.846894, 0.8466509024107306, 0.8471366559070342, 4, 142, 813
# timestamp 27.08.2025 21:05:53 (1756321553), datastructure reach_tree_reduced
# timebound 12, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
