training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
5406, 4181, 0.927838, 0.9276631993197969, 0.9280122559359621, 0, 685, 1354
5214, 4084, 0.928866, 0.9286923502965213, 0.9290391036503328, 1, 678, 1350
5238, 4203, 0.928191, 0.928016593378299, 0.9283648614280015, 2, 698, 1397
5245, 4141, 0.927635, 0.9274599732580471, 0.9278094822561825, 3, 685, 1390
5212, 4055, 0.927002, 0.9268262709045856, 0.9271771854156137, 4, 693, 1378
# timestamp 27.08.2025 21:20:05 (1756322405), datastructure reach_tree_full
# timebound 14, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
