training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3256, 2377, 0.645275, 0.6449522115563173, 0.6455976034725487, 0, 28, 213
3240, 2557, 0.643833, 0.6435099187402135, 0.6441558981246766, 1, 28, 211
3231, 2296, 0.644903, 0.6445801357109763, 0.645225679791538, 2, 28, 212
3247, 2314, 0.644537, 0.6442140612967551, 0.644859754671768, 3, 28, 212
3234, 2295, 0.644622, 0.644299078560378, 0.6449447372999191, 4, 28, 212
# timestamp 27.08.2025 19:58:21 (1756317501), datastructure reach_tree_reduced
# timebound 10, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: DISCRETE_HISTORY
# training runs 1000000, simulation runs 1000000
