training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4423, 3421, 0.651542, 0.651220521460025, 0.6518632855893941, 0, 28, 230
4433, 3373, 0.652287, 0.6519656812336257, 0.6526081248672233, 1, 28, 234
4393, 3384, 0.65211, 0.6517886431955678, 0.6524311631306462, 2, 28, 231
4407, 3389, 0.651956, 0.6516346101400821, 0.6522771963822123, 3, 28, 230
4458, 3494, 0.652029, 0.6517076258046279, 0.6523501806247193, 4, 28, 231
# timestamp 27.08.2025 19:58:21 (1756317501), datastructure sac
# timebound 10, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: DISCRETE_HISTORY
# training runs 1000000, simulation runs 1000000
