training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4712, 3541, 0.765582, 0.7652960938600049, 0.7658675679881691, 0, 44, 419
4693, 3630, 0.766585, 0.7662995184532685, 0.7668701421178372, 1, 46, 418
4684, 3576, 0.768557, 0.7682723597913106, 0.768841298268949, 2, 45, 423
4679, 3538, 0.76888, 0.7685954984277032, 0.769164159221297, 3, 44, 414
4688, 3545, 0.767278, 0.7669928131249236, 0.7675628465638208, 4, 44, 418
# timestamp 27.08.2025 20:11:37 (1756318297), datastructure reach_tree_reduced
# timebound 11, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000, simulation runs 1000000
