training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4666, 3556, 0.764859, 0.7645727891816944, 0.7651448735870383, 0, 43, 414
4673, 3545, 0.766479, 0.7661934734752608, 0.7667641872308093, 1, 43, 417
4687, 3549, 0.768545, 0.7682603546452524, 0.7688293034302861, 2, 44, 423
4709, 3534, 0.766185, 0.7658993488558351, 0.7664703122245701, 3, 43, 419
4708, 3606, 0.767167, 0.7668817658543354, 0.7674518939757397, 4, 44, 414
# timestamp 27.08.2025 20:11:37 (1756318297), datastructure reach_tree_reduced
# timebound 11, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
