training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3499, 2772, 0, 0, 6.616514641613558e-07, 0, 0, 27
3532, 2835, 0, 0, 6.616514641613558e-07, 1, 0, 27
3519, 2783, 0, 0, 6.616514641613558e-07, 2, 0, 27
3482, 2794, 0, 0, 6.616514641613558e-07, 3, 0, 27
3499, 2769, 0, 0, 6.616514641613558e-07, 4, 0, 27
# timestamp 27.08.2025 19:31:36 (1756315896), datastructure sac
# timebound 7, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
