training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
2562, 1769, 0.535507, 0.5351705840779469, 0.5358433707128296, 0, 4, 63
2523, 1769, 0.533845, 0.533508507204611, 0.534181449702304, 1, 4, 63
2544, 1770, 0.534402, 0.5340655325496814, 0.5347384236480344, 2, 4, 63
2584, 1780, 0.535326, 0.5349895755239281, 0.5356623794973063, 3, 4, 63
2545, 1970, 0.534201, 0.5338645233550112, 0.5345374330986273, 4, 4, 63
# timestamp 27.08.2025 19:39:44 (1756316384), datastructure reach_tree_full
# timebound 8, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000, simulation runs 1000000
