training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3624, 2777, 0.60409, 0.603760077830607, 0.6044197896369877, 0, 4, 63
3598, 2749, 0.604065, 0.6037350742579611, 0.6043947932414648, 1, 4, 63
3607, 2755, 0.604272, 0.6039421038666278, 0.6046017633692357, 2, 4, 63
3622, 2748, 0.60417, 0.6038400892691291, 0.6044997780966058, 3, 4, 63
4013, 2745, 0.605106, 0.6047762237856648, 0.6054356423883097, 4, 4, 63
# timestamp 27.08.2025 19:39:44 (1756316384), datastructure reach_tree_full
# timebound 8, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000, simulation runs 1000000
