training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3637, 2765, 0.604091, 0.6037610779735316, 0.6044207894927899, 0, 4, 57
3615, 2756, 0.603709, 0.603379023481238, 0.6040388444714644, 1, 4, 57
3645, 2797, 0.604192, 0.6038620924163404, 0.604521774921383, 2, 4, 57
3612, 2737, 0.603463, 0.6031329885006542, 0.6037928797652672, 3, 4, 57
3622, 2775, 0.603528, 0.6031979977350165, 0.6038578704481438, 4, 4, 57
# timestamp 27.08.2025 19:39:44 (1756316384), datastructure reach_tree_reduced
# timebound 8, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: DISCRETE_HISTORY
# training runs 1000000, simulation runs 1000000
