training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
2521, 1979, 0.534823, 0.5344865519860598, 0.5351594036756185, 0, 4, 63
2510, 1787, 0.534564, 0.5342275400002582, 0.5349004159911913, 1, 4, 63
2521, 1777, 0.535688, 0.535351592676496, 0.5360243618838225, 2, 4, 63
2509, 1785, 0.534394, 0.5340575321826756, 0.5347304240252262, 3, 4, 63
2508, 1794, 0.534656, 0.5343195442473249, 0.5349924116269859, 4, 4, 63
# timestamp 27.08.2025 19:39:44 (1756316384), datastructure sac
# timebound 8, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
