training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3019, 2257, 0.626345, 0.626018619312415, 0.6266712198190404, 0, 16, 125
3014, 2167, 0.627452, 0.6271258145224751, 0.6277780231994944, 1, 16, 125
2971, 2192, 0.625999, 0.6256725586727733, 0.6263252808992259, 2, 16, 125
3053, 2313, 0.626121, 0.6257945800340372, 0.6264472593826257, 3, 16, 125
3091, 2220, 0.626944, 0.6266177247141804, 0.6272701136545992, 4, 16, 125
# timestamp 27.08.2025 19:48:10 (1756316890), datastructure sac
# timebound 9, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
