training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3877, 2944, 0.648821, 0.6484989452517133, 0.6491428652622144, 0, 16, 125
3911, 2959, 0.648534, 0.6482118851458913, 0.6488559257334585, 1, 16, 125
3922, 2986, 0.649355, 0.6490330574261455, 0.6496767524078675, 2, 16, 125
3940, 3006, 0.648556, 0.6482338897487885, 0.6488779211025498, 3, 16, 125
3907, 2960, 0.648174, 0.6478518099322749, 0.6484960014054444, 4, 16, 125
# timestamp 27.08.2025 19:48:10 (1756316890), datastructure sac
# timebound 9, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: DISCRETE_HISTORY
# training runs 1000000, simulation runs 1000000
