training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3937, 3005, 0.648416, 0.6480938604704224, 0.6487379505591707, 0, 16, 125
3934, 3021, 0.648486, 0.6481638751058095, 0.6488079358346562, 1, 16, 125
3942, 3025, 0.649242, 0.6489200336519584, 0.6495637763259317, 2, 16, 125
3935, 2984, 0.649269, 0.6489470393307147, 0.6495907706127977, 3, 16, 125
3898, 2980, 0.649318, 0.6489960496394953, 0.649639760241628, 4, 16, 125
# timestamp 27.08.2025 19:48:10 (1756316890), datastructure sac
# timebound 9, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000, simulation runs 1000000
