training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
3955, 2972, 0.648371, 0.6480488510659678, 0.6486929600209216, 0, 16, 125
3997, 3020, 0.649108, 0.6487860054852375, 0.6494298046632679, 1, 16, 125
3922, 3003, 0.648401, 0.6480788573352556, 0.6487229537134362, 2, 16, 125
3889, 2950, 0.647939, 0.6476167609427594, 0.6482610506941732, 3, 16, 125
3943, 3015, 0.648528, 0.6482058838906859, 0.6488499269963035, 4, 16, 125
# timestamp 27.08.2025 19:48:10 (1756316890), datastructure sac
# timebound 9, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
