training_time, simulation_time, prob, low, high, runs
2482, 1, 0, 0, 0, 1000
2481, 1, 0, 0, 0, 1000
2470, 1, 0, 0, 0, 1000
2472, 1, 0, 0, 0, 1000
2501, 1, 0, 0, 0, 1000
2484, 1, 0, 0, 0, 1000
2485, 1, 0, 0, 0, 1000
2478, 1, 0, 0, 0, 1000
2500, 2, 0, 0, 0, 1000
2550, 1, 0, 0, 0, 1000
2496, 1, 0, 0, 0, 1000
2480, 1, 0, 0, 0, 1000
2486, 1, 0, 0, 0, 1000
2486, 1, 0, 0, 0, 1000
2497, 2, 0, 0, 0, 1000
2482, 1, 0, 0, 0, 1000
2477, 1, 0, 0, 0, 1000
2477, 1, 0, 0, 0, 1000
2484, 1, 0, 0, 0, 1000
2480, 1, 0, 0, 0, 1000
2486, 1, 0, 0, 0, 1000
2478, 1, 0, 0, 0, 1000
2488, 1, 0, 0, 0, 1000
2487, 1, 0, 0, 0, 1000
2484, 1, 0, 0, 0, 1000
# timestamp 02.10.2025 22:52:04 (1759438324), datastructure SAC
# timebound 7, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: SEMIPROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000
