training_time, simulation_time, prob, low, high, runs
5133, 10, 0.9474002418379686, 0.9374020439647652, 0.9573984397111719, 3308
4509, 10, 0.9489732420659615, 0.938974418761757, 0.9589720653701659, 3214
4534, 12, 0.940636805180788, 0.930637662442257, 0.9506359479193189, 3706
4532, 10, 0.9491419656786272, 0.9391447925088929, 0.9591391388483614, 3205
4537, 12, 0.939538583929992, 0.9295405625816868, 0.9495366052782972, 3771
4564, 11, 0.948504471168671, 0.9385073067036783, 0.9585016356336636, 3243
4557, 12, 0.9409214092140922, 0.9309231494830178, 0.9509196689451666, 3690
4529, 11, 0.9469265367316342, 0.9369266565269134, 0.9569264169363549, 3335
4524, 10, 0.9477044694435999, 0.9377048684032712, 0.9577040704839286, 3289
4533, 9, 0.9527796383121232, 0.9427805168180243, 0.9627787598062221, 2986
4511, 10, 0.9488213399503722, 0.938823987121773, 0.9588186927789715, 3224
4527, 11, 0.9455662862159789, 0.9355685116100622, 0.9555640608218957, 3417
4517, 10, 0.950920245398773, 0.9409202800713491, 0.9609202107261968, 3097
4520, 11, 0.9458664313033245, 0.9358683074590407, 0.9558645551476083, 3399
4521, 11, 0.9463226571767497, 0.9363245635518171, 0.9563207508016822, 3372
4491, 11, 0.9436260623229462, 0.9336261163148177, 0.9536260083310747, 3530
4514, 12, 0.9399519615692554, 0.9299541199195985, 0.9499498032189123, 3747
4512, 10, 0.9496221662468514, 0.9396244506572801, 0.9596198818364227, 3176
4511, 11, 0.9430575035063113, 0.9330597268444852, 0.9530552801681375, 3565
4511, 10, 0.9475598666262504, 0.9375624009037987, 0.957557332348702, 3299
4563, 11, 0.944813637676972, 0.93481515681411, 0.954812118539834, 3461
4504, 11, 0.9434868606951116, 0.9334880528544652, 0.9534856685357579, 3539
4514, 11, 0.9439225732991745, 0.9339232868904322, 0.9539218597079168, 3513
4529, 11, 0.945106012198664, 0.9351064726816442, 0.9551055517156838, 3443
4534, 10, 0.9477044694435999, 0.9377048684032712, 0.9577040704839286, 3289
# timestamp 22.09.2025 13:58:19 (1758542299), datastructure reach_tree_reduced
# timebound 14, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000
