training_time, simulation_time, prob, low, high, runs
4015, 25, 0.8534763224484878, 0.8434767226257566, 0.863475922271219, 8299
4071, 24, 0.8593691559655903, 0.8493700361303371, 0.8693682758008434, 8021
4066, 25, 0.8495637821268569, 0.8395644516365959, 0.8595631126171179, 8482
4052, 26, 0.852486518873577, 0.8424866960776797, 0.8624863416694742, 8345
4070, 25, 0.8558690607059973, 0.8458698496440681, 0.8658682717679266, 8187
4052, 25, 0.8542725732268216, 0.8442732146327794, 0.8642719318208638, 8262
4066, 25, 0.8504086225275376, 0.8404094382500423, 0.8604078068050328, 8443
4077, 25, 0.8521707929673484, 0.8421717095095198, 0.8621698764251771, 8361
4047, 26, 0.852620218251589, 0.8426205489033085, 0.8626198875998694, 8339
4073, 24, 0.8579376854599406, 0.8479378557829512, 0.8679375151369301, 8088
4056, 25, 0.8517722878625135, 0.841772835417097, 0.8617717403079299, 8379
4055, 26, 0.8528881950282214, 0.8428888537753491, 0.8628875362810938, 8327
4045, 25, 0.8517722878625135, 0.841772835417097, 0.8617717403079299, 8379
4049, 25, 0.8554716061418475, 0.8454725388681882, 0.8654706734155068, 8206
4050, 25, 0.8519049325211991, 0.8419055961855545, 0.8619042688568438, 8373
4052, 24, 0.8544089147286822, 0.8444098059330299, 0.8644080235243344, 8256
4069, 25, 0.8562683643486778, 0.8462690751887206, 0.866267653508635, 8168
4062, 25, 0.8573364543550573, 0.8473369093889309, 0.8673359993211838, 8117
4119, 26, 0.8508667774875327, 0.8408677854007958, 0.8608657695742696, 8422
4088, 26, 0.8522373773630055, 0.8422383614521946, 0.8622363932738165, 8358
4033, 25, 0.8552647595861229, 0.8452652314421759, 0.8652642877300699, 8215
4043, 25, 0.8516398330351819, 0.8416402713228932, 0.8616393947474705, 8385
4054, 25, 0.8532065936710383, 0.8432066030368709, 0.8632065843052058, 8311
4034, 26, 0.8496284939261706, 0.8396291651014619, 0.8596278227508792, 8479
4085, 26, 0.8519049325211991, 0.8419055961855545, 0.8619042688568438, 8373
# timestamp 21.09.2025 01:14:35 (1758410075), datastructure reach_tree_reduced
# timebound 12, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 1
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000
