training_time, simulation_time, prob, low, high, runs
3040, 2, 0, 0, 0, 1000
3048, 2, 0, 0, 0, 1000
2954, 2, 0, 0, 0, 1000
2931, 2, 0, 0, 0, 1000
2937, 2, 0, 0, 0, 1000
2937, 2, 0, 0, 0, 1000
2925, 2, 0, 0, 0, 1000
2929, 2, 0, 0, 0, 1000
2944, 2, 0, 0, 0, 1000
2926, 2, 0, 0, 0, 1000
# timestamp 18.09.2025 12:19:55 (1758190795), datastructure reach_tree_full
# timebound 7, expirations {"r1": 3, "r2": 5}
# alpha 0.5, gamma 0.95
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000
