training_time, simulation_time, prob, low, high, runs
3926, 44, 0.6482289188474756, 0.6382291039710685, 0.6582287337238827, 15132
3975, 44, 0.6482289188474756, 0.6382291039710685, 0.6582287337238827, 15132
3922, 43, 0.6466824957129667, 0.6366825937468709, 0.6566823976790624, 15162
3915, 44, 0.6440544271346874, 0.6340546226492529, 0.6540542316201219, 15213
3920, 43, 0.6490044320963154, 0.639004715315928, 0.6590041488767029, 15117
3941, 43, 0.6505800464037123, 0.6405801057676062, 0.6605799870398184, 15085
3939, 44, 0.6501258778322512, 0.6401259164379798, 0.6601258392265226, 15094
3946, 43, 0.6534034200545612, 0.6434037964137196, 0.6634030436954028, 15029
3934, 43, 0.6515765018254231, 0.6415765544182337, 0.6615764492326126, 15065
3936, 44, 0.6437771060586148, 0.6337772039938554, 0.6537770081233742, 15218
3924, 43, 0.6486379264744776, 0.6386381306108585, 0.6586377223380967, 15124
3913, 44, 0.6448641179180101, 0.63486415682325, 0.6548640790127702, 15197
3908, 44, 0.647241288278775, 0.6372416829658145, 0.6572408935917355, 15152
3927, 43, 0.6515332536837913, 0.6415333494569332, 0.6615331579106495, 15066
3944, 44, 0.6493283038845874, 0.6393287234103358, 0.659327884358839, 15111
3935, 44, 0.641864429002229, 0.6318644434820303, 0.6518644145224276, 15254
3930, 43, 0.648314606741573, 0.6383146881748721, 0.658314525308274, 15130
3922, 43, 0.6515765018254231, 0.6415765544182337, 0.6615764492326126, 15065
3935, 44, 0.6521190381294009, 0.6421190686711093, 0.6621190075876924, 15054
3921, 43, 0.6466824957129667, 0.6366825937468709, 0.6566823976790624, 15162
3957, 44, 0.6434999671549629, 0.6334999720678712, 0.6534999622420546, 15223
3942, 44, 0.6423745490324697, 0.6323747673964328, 0.6523743306685066, 15245
3920, 43, 0.6508620689655172, 0.6408623409865515, 0.660861796944483, 15080
3946, 44, 0.6501921293229098, 0.6401926052952014, 0.6601916533506182, 15094
3925, 43, 0.6475404423902278, 0.6375404581730495, 0.6575404266074061, 15145
# timestamp 21.09.2025 23:15:51 (1758489351), datastructure reach_tree_reduced
# timebound 9, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000
