training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
4629, 3497, 0.651431, 0.6511094977289151, 0.6517523094618345, 0, 28, 246
4686, 3540, 0.650995, 0.6506734047006187, 0.6513164030452671, 1, 28, 247
4553, 3502, 0.651685, 0.651363552060845, 0.6520062548064997, 2, 28, 248
4501, 3496, 0.651637, 0.6513155417856865, 0.651958265142774, 3, 28, 250
4537, 3490, 0.651205, 0.6508834494708612, 0.6515263580076426, 4, 28, 248
# timestamp 28.08.2025 14:13:52 (1756383232), datastructure sac
# timebound 10, expirations {"r1": 5, "r2": 5}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
