training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
11580, 12606, 0.606969, 0.6066394952907089, 0.6072983685112042, 0, 28, 211
23887, 12017, 0.606395, 0.6060654111037957, 0.6067244534289619, 1, 28, 211
23961, 12380, 0.60712, 0.6067905175166409, 0.6074493460930117, 2, 28, 212
11620, 12821, 0.606334, 0.6060044021851162, 0.6066634624253096, 3, 28, 212
12255, 13453, 0.605905, 0.6055753396138955, 0.6062345255427536, 4, 28, 210
# timestamp 28.08.2025 10:43:03 (1756370583), datastructure reach_tree_reduced
# timebound 10, expirations {"r1": 3, "r2": 3}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
