training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
16101, 15304, 0.607434, 0.6071045638404853, 0.6077632993693675, 0, 28, 261
28350, 14375, 0.606376, 0.6060464083252695, 0.6067054562316799, 1, 28, 260
28290, 14901, 0.607059, 0.6067295085339802, 0.6073883551533406, 2, 28, 260
28116, 15024, 0.606535, 0.6062054315932435, 0.6068644327612593, 3, 28, 260
28288, 14599, 0.606873, 0.6065434811774734, 0.6072023827466716, 4, 28, 258
# timestamp 28.08.2025 10:57:19 (1756371439), datastructure reach_tree_full
# timebound 10, expirations {"r1": 4, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
