training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
12451, 13217, 0.606988, 0.6066584980855345, 0.607317365692187, 0, 28, 224
12443, 12794, 0.606714, 0.6063844578317605, 0.6070434062948309, 1, 28, 222
12466, 12772, 0.606857, 0.606527478826564, 0.6071863851179529, 2, 28, 223
12459, 13126, 0.606491, 0.6061614251506483, 0.6068204392598774, 3, 28, 223
12464, 12836, 0.605757, 0.6054273180892656, 0.6060865472558243, 4, 28, 224
# timestamp 28.08.2025 11:32:28 (1756373548), datastructure reach_tree_reduced
# timebound 10, expirations {"r1": 5, "r2": 5}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
