training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
11316, 11647, 0.606615, 0.6062854433142268, 0.6069444209384162, 0, 28, 245
11265, 11585, 0.606578, 0.6062484378921214, 0.6069074264076317, 1, 28, 243
11282, 11465, 0.606449, 0.6061194190035104, 0.6067784454604919, 2, 28, 244
11324, 11498, 0.606482, 0.6061524238331897, 0.6068114405887953, 3, 28, 245
11265, 11829, 0.607205, 0.606875530042445, 0.6075343334589816, 4, 28, 244
# timestamp 27.08.2025 20:37:43 (1756319863), datastructure reach_tree_full
# timebound 10, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
