training_time, simulation_time, prob, low, high, scheduler_variant, success_path_count, failure_path_count
11231, 11714, 0.60697, 0.606640495437792, 0.6072993683628479, 0, 28, 216
11358, 11392, 0.606794, 0.6064644695734591, 0.6071233944512725, 1, 28, 214
11272, 11720, 0.606172, 0.6058423785255596, 0.6065014862911323, 2, 28, 216
11222, 11422, 0.606497, 0.6061674260290192, 0.6068264383738671, 3, 28, 216
11187, 11389, 0.607729, 0.6073996074913722, 0.6080582553428723, 4, 28, 215
# timestamp 27.08.2025 20:37:43 (1756319863), datastructure reach_tree_reduced
# timebound 10, expirations {"r1": 2, "r2": 4}
# alpha 0.1, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.25
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 1000000, simulation runs 1000000
